ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.171790599823 36.2050659649005),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877121925354 36.1954732166143),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827554702759 36.1952307853651),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1835386753082 36.1984602543314),Yes   ,60.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1771013736725 36.199966717078),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1841502189636 36.2009710094709),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.178635597229 36.2016376447204),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1762752532959 36.2084335372616),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1798157691956 36.2112469506255),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1964240074158 36.20103161291),Yes   ,65.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.2029685974121 36.2085330905376),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1947395801544 36.2066761846727),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.192690372467 36.2094550344242),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1907699108124 36.2082257734952),Yes   ,70.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1756207942963 36.2079920385986),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1785497665405 36.210095627537),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1823424100876 36.2080353228914),Yes   ,65.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1831148862839 36.2082604008279),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1850728988647 36.2088404063733),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1886563301086 36.2098792115313),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1995139122009 36.2032306202473),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051358222961 36.2111344160329),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1950721740723 36.2098359282584),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1911883354187 36.2076977047729),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1900081634521 36.2083123417982),Yes   ,60.0,Works with the Council   ,No   ,No   
None,POINT (37.1665173768997 36.2162805439895),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1668875217438 36.2057715222654),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1065378189087 36.1961658731904),"No, it appears destroyed   ",15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1411490440369 36.2045898182991),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1753793954849 36.216146376742),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1640229225159 36.2169167532891),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1646398305893 36.2185094178281),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1612870693207 36.2156876095765),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1631968021393 36.213921763685),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1514165401459 36.216198312478),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1512019634247 36.2146835060162),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1470069885254 36.1991095952768),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1149706840515 36.1816187983581),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1659809350967 36.2084595076937),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.0998752117157 36.2019666314528),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.152886390686 36.2103380127527),"No, it appears destroyed   ",15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1402049064636 36.2094074225645),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1556329727173 36.212281395645),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614158153534 36.2131946390873),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1505689620972 36.214025638076),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1232265233994 36.2263770511252),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.142978310585 36.2254553066329),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1453064680099 36.2161507047213),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1365946531296 36.2177130896115),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1186292171478 36.2146618657114),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1236449480057 36.2185526963033),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1454727649689 36.2239406794164),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1142625808716 36.2279954870022),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1401888132095 36.2094853328652),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.133075594902 36.224122436231),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1286821365356 36.2243301577877),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.109831571579 36.2151985435038),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1773964166641 36.2374847324717),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.187996506691 36.2285234187334),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803146600723 36.2199765447856),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877980232239 36.2178645657118),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861296892166 36.2152071995671),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1793168783188 36.2386010385784),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1754544973373 36.2226900079778),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913439035416 36.2155750813704),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.187631726265 36.2155577693243),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1977865695953 36.2158650575727),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877872943878 36.2151119828186),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1700793504715 36.2275281346268),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1699774265289 36.2277488291521),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.168555855751 36.2295706170312),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1664744615555 36.2327727066418),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722036600113 36.2316736257983),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1721982955933 36.2313966896058),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718013286591 36.230098538129),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.177187204361 36.2323573078241),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.205114364624 36.2284714911802),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1986931562424 36.2230491993998),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.175567150116 36.2284974549611),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1717691421509 36.2296744706435),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1707874536514 36.2280430875503),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1736145019531 36.229977376225),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1753633022308 36.2327207819103),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796333789825 36.2332573358066),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1626603603363 36.2049793930066),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1654391288757 36.204485931383),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1637761592865 36.1949104286343),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1593129634857 36.190269438159),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1515130996704 36.2019146862712),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1543025970459 36.2000619522544),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1596884727478 36.1933778931681),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603751182556 36.1923042346352),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1669840812683 36.1943303198673),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1666407585144 36.1956983306737),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1699130535126 36.1982438061527),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1703636646271 36.2030661297101),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1751165390015 36.2041309833791),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.172691822052 36.1991182531197),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1707981824875 36.2280214509411),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1699398756027 36.2276969010845),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1700686216354 36.2275367893258),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1718013286591 36.2296441800208),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1755564212799 36.2284758184776),Yes   ,50.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.187814116478 36.21509467067),Yes   ,60.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1987682580948 36.2229583197983),Yes   ,60.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1977704763412 36.2158564015823),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2050499916077 36.2284022543889),Yes   ,65.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.18998670578 36.2082863713174),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1909737586975 36.2082171166596),Yes   ,40.0,Very busy   ,No   ,Yes   
None,POINT (37.1440887451172 36.1932610036387),Yes   ,15.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1424901485443 36.1921050866759),Yes   ,0.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1246159076691 36.1738505930249),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1241545677185 36.1849440822544),"No, it appears closed   ",15.0,Closed   ,Yes   ,Yes   
None,POINT (37.1529346704483 36.159420645236),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1326947212219 36.187325383716),"No, it appears closed   ",15.0,Closed   ,Yes   ,Yes   
None,POINT (37.1162688732147 36.1909707995114),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1406877040863 36.1761586185097),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1423453092575 36.1762928542976),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1364605426788 36.1714342383444),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1565234661102 36.1577748041632),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1239185333252 36.1895161171172),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1184360980988 36.1917760585031),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1420288085938 36.1813113756614),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416479349136 36.1767042206027),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400707960129 36.1764487407305),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803736686707 36.2196692726859),Yes   ,65.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1754705905914 36.2226813527424),Yes   ,65.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1755456924438 36.2080266660348),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1826481819153 36.198425622663),Yes   ,45.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1873635053635 36.1955208369501),Yes   ,40.0,Somewhat busy   ,No   ,No   
None,POINT (37.1731531620026 36.1877323625397),Yes   ,45.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.181886434555 36.1998974550587),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1826213598251 36.2015424114609),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1834850311279 36.2028540229808),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1995997428894 36.2031786759044),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1597421169281 36.1845284294871),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1723967790604 36.2052261226517),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827125549316 36.195161519156),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.190877199173 36.1953520010835),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1750897169113 36.188360144876),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1810603141785 36.200945036554),Yes   ,40.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1787643432617 36.2015683841796),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1853893995285 36.2010272840945),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1964079141617 36.2010186264627),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.17664539814 36.1893689156076),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1638834476471 36.1858663039557),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565878391266 36.1847449155787),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1519529819489 36.185957226634),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1487236022949 36.1905205435626),Yes   ,40.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.148745059967 36.1884250875891),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1493887901306 36.1914210528714),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.109831571579 36.2151812313744),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1186238527298 36.2146575376498),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1879911422729 36.2285234187334),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1793329715729 36.2386053653152),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1286875009537 36.2243388128406),Yes   ,150.0,Not busy   ,No   ,No   
None,POINT (37.133064866066 36.2241181086927),Yes   ,150.0,Not busy   ,No   ,No   
None,POINT (37.1401888132095 36.209476676169),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1365892887115 36.2177130896115),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1429944038391 36.2254509791684),Yes   ,150.0,Not busy   ,No   ,No   
None,POINT (37.1454459428787 36.2239450069645),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1774017810822 36.2374890592704),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1586692333221 36.2279175951336),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.15900182724 36.2278916311601),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1578216552734 36.2300639204613),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1629285812378 36.229527344652),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1621775627136 36.2283849451815),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.145311832428 36.2161290648223),Yes   ,150.0,Not busy   ,No   ,No   
None,POINT (37.1603322029114 36.2294494543092),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1571457386017 36.230055266042),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1597850322723 36.2306697274338),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538358926773 36.2313534182371),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051250934601 36.2111344160329),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1762537956238 36.2084162236355),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1711039543152 36.2335429194436),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1949326992035 36.2320803740529),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1845042705536 36.2085590609366),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1959519386292 36.2156702975554),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.2021961212158 36.2185700076867),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1897345781326 36.2275800628064),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1360421180725 36.2353602454211),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1876531839371 36.2155750813704),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1142625808716 36.2279954870022),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1470284461975 36.1991009374329),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1512019634247 36.2146488815257),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1505582332611 36.214034294269),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1513950824738 36.2162069684307),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614050865173 36.2132032953722),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1556437015533 36.2122857238381),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.1631968021393 36.2139131074796),Yes   ,175.0,Somewhat busy   ,No   ,No   
None,POINT (37.1612763404846 36.2156789535664),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.1647202968597 36.2184834507315),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.1657663583755 36.2158131216155),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1640229225159 36.2169210812258),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.175384759903 36.2161377207826),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1401995420456 36.2094117509166),Yes   ,150.0,Very busy   ,No   ,No   
None,POINT (37.1411275863647 36.2046071327717),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1317237615585 36.1800037332468),Yes   ,15.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1298676729202 36.1816144684694),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1568989753723 36.1847925424385),Yes   ,33.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1536964178085 36.1802505415988),Yes   ,33.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549892425537 36.1830822870481),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1236288547516 36.218574335532),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1784424781799 36.209961449684),Yes   ,40.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1793168783188 36.2109266594369),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1770370006561 36.1999580593289),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.1952438354492 36.2099311514273),Yes   ,38.0,Works with the Council   ,No   ,No   
None,POINT (37.1886992454529 36.2099138381324),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1830826997757 36.2081868177276),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1822512149811 36.2079747248748),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.152881026268 36.2103293561508),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998752117157 36.2019406588663),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1065217256546 36.1961485568507),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1659648418427 36.208450850884),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1668767929077 36.2057931650288),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1149545907974 36.181592819022),Yes   ,150.0,Somewhat busy   ,No   ,No   
None,POINT (37.1326518058777 36.2341486994629),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1338319778442 36.2380775016528),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861243247986 36.2152418238106),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877604722977 36.2178905330138),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913331747055 36.2155707533592),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1279042959213 36.1929103340036),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1665120124817 36.2162675600724),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1730673313141 36.2018713985935),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1729010343552 36.1997329575174),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1735447645187 36.2032825645556),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1748107671738 36.2030488148966),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1702724695206 36.2031007593256),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1916604042053 36.2079054699413),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1926099061966 36.2095113029482),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1944284439087 36.2067281266945),Yes   ,40.0,Works with the Council   ,No   ,No   
None,POINT (37.202957868576 36.2084811497138),Yes   ,40.0,Very busy   ,Yes   ,Yes   
None,POINT (37.1602892875671 36.1930575288565),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1551072597504 36.1964818957176),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.154313325882 36.2000446367764),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1577733755112 36.1914730050156),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1637117862701 36.1948108580321),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1772354841232 36.2323616349065),Yes   ,50.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1796065568924 36.2331231976777),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1753525733948 36.2327424172193),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1736145019531 36.229999012293),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718281507492 36.2300898837135),Yes   ,50.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1722251176834 36.2313837081977),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722197532654 36.2316649715571),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1665120124817 36.2327986689946),Yes   ,65.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1686255931854 36.2295143629336),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1644788980484 36.2075029244266),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1620756387711 36.2067021556879),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1595543622971 36.2081608472051),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1575319766998 36.2070917198815),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1578967571259 36.2103986089394),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1576285362244 36.2098705548787),"No, it appears destroyed   ",65.0,Closed   ,Yes   ,Yes   
None,POINT (37.1608632802963 36.2045595179628),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1616089344025 36.2119351394205),Yes   ,150.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1768009662628 36.2001874893554),Yes   ,65.0,Works with the Council   ,Yes   ,No   
None,POINT (37.175390124321 36.203970823387),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1706855297089 36.2045551893424),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1699023246765 36.1983866620178),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1663242578506 36.1965684770094),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1667319536209 36.1956204066495),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1670269966125 36.1942047733744),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603697538376 36.1922089900222),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1596723794937 36.1934341732496),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.151443362236 36.2017415354169),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1598386764526 36.1910487281628),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1591734886169 36.1900529673373),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1654176712036 36.2045075745019),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1627354621887 36.204788934503),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1615874767303 36.2065852860517),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625691652298 36.2108011395595),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1613192558289 36.2103336844519),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556222438812 36.2065809575433),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1567165851593 36.2087884657534),"No, it appears closed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1601390838623 36.2032219628592),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.12118268013 36.181263746685),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1231031417847 36.1792026832386),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
